alert_type,is_critical,vbt,vct,vmt,vbv,vbc,soc,speed
OverSpeed,0,30.25,34.87,45.41,66.87,-13.86,51.88,23.28
Deep Discharge Warning,1,45.08,54.16,89.38,48.99,-45.9,17.82,8.38
Harsh Acceleration,0,32.56,33.83,45.66,72.05,-33.59,78.2,42.59
Harsh Braking,0,29.56,32.45,49.47,67.92,-29.96,58.24,28.95
Harsh Cornering,0,31.88,40.38,44.8,77.1,-13.11,92.87,45.71
Battery Under Voltage,1,40.71,47.72,66.55,46.82,-28.07,13.3,36.89
Deep Discharge Warning,1,38.87,50.69,67.97,47.32,-33.95,7.36,36.15
Harsh Braking,0,32.24,38.71,40.74,75.55,-18.31,87.38,19.9
Harsh Acceleration,0,27.25,35.99,41.41,63.59,-14.03,42.44,27.63
OverSpeed,0,33.16,37.73,51.91,70.3,-14.52,62.66,4.43
Deep Discharge Warning,1,37.44,53.27,57.93,45.55,-47.37,6.3,73.05
Harsh Braking,0,24.04,31.46,32.57,64.93,-15.54,45.68,42.25
Deep Discharge Warning,1,45.99,58.07,70.93,50.78,-52.12,19.63,5.07
Thermal Overheat Surge,1,34.36,43.42,53.77,46.88,-39.36,6.41,32.39
Deep Discharge Warning,1,42.31,56.74,67.53,45.53,-37.85,4.71,1.73
Harsh Acceleration,0,25.04,32.85,37.63,76.32,-14.19,91.91,41.76
Deep Discharge Warning,1,52.19,59.08,64.25,44.57,-42.87,3.13,0.26
Harsh Acceleration,0,29.76,35.69,35.9,71.06,-10.52,68.72,31.35
Low SoC,1,38.25,45.08,61.82,46.99,-58.68,7.08,49.73
Deep Discharge Warning,1,51.46,61.93,73.23,45.51,-49.16,4.72,2.48
Harsh Braking,0,32.71,41.75,47.75,77.55,-15.25,96.52,16.59
Thermal Overheat Surge,1,38.41,50.46,75.28,47.78,-39.55,9.33,4.94
Deep Discharge Warning,1,38.08,50.66,70.04,43.56,-43.04,6.47,3.94
Harsh Braking,0,33.9,35.65,52.0,65.04,1.56,48.22,8.44
Deep Discharge Warning,1,29.64,33.33,51.83,45.64,-51.95,3.09,11.5
Harsh Braking,0,31.43,38.16,40.88,68.32,-13.08,56.66,19.32
Deep Discharge Warning,1,47.39,61.73,71.77,48.54,-38.16,26.01,0.17
Deep Discharge Warning,1,34.11,44.15,60.12,45.82,-40.93,6.23,16.31
Battery Under Voltage,1,34.25,50.68,80.01,46.76,-53.17,5.48,3.21
Harsh Braking,0,30.73,30.64,53.88,69.76,-10.85,61.13,29.07
Harsh Acceleration,0,28.14,33.52,37.03,78.09,4.55,89.45,22.96
Harsh Acceleration,0,33.16,42.23,59.29,67.07,-18.96,54.74,51.83
OverSpeed,0,34.48,41.31,45.94,66.88,-8.55,52.6,42.96
Harsh Braking,0,34.98,43.33,42.39,71.95,-5.73,67.43,42.74
Battery Under Voltage,1,47.74,50.62,70.52,45.7,-47.58,4.86,32.59
Harsh Cornering,0,28.93,36.59,37.32,79.11,-14.87,95.1,41.01
OverSpeed,0,33.42,40.46,43.38,67.54,-31.35,55.25,37.74
Deep Discharge Warning,1,42.85,51.9,52.37,47.99,-37.86,12.44,20.77
Low SoC,1,32.25,44.87,62.47,46.3,-38.83,10.89,1.33
OverSpeed,0,29.69,37.06,34.91,64.43,-14.03,41.07,30.23
Deep Discharge Warning,1,35.57,51.15,56.13,44.65,-41.69,6.53,5.1
Harsh Braking,0,29.52,36.02,42.16,73.32,-18.9,71.65,29.06
Low SoC,1,42.54,57.01,52.86,47.1,-19.87,11.46,9.04
Harsh Acceleration,0,25.12,34.76,37.8,76.29,-14.14,85.67,33.49
Deep Discharge Warning,1,58.33,66.63,85.33,51.1,-49.1,17.14,12.88
Harsh Acceleration,0,34.75,40.99,49.3,70.18,-32.21,61.33,47.09
Low SoC,1,40.48,54.88,68.34,45.88,-64.89,6.73,25.37
Harsh Cornering,0,30.68,33.67,44.61,78.4,-10.5,91.25,31.22
Harsh Cornering,0,28.84,33.1,43.78,64.54,-17.39,42.37,20.27
Deep Discharge Warning,1,44.07,54.38,63.49,46.38,-45.78,4.75,22.11
Low SoC,1,28.45,40.89,62.61,44.99,-48.85,3.19,28.2
Deep Discharge Warning,1,43.33,57.66,61.38,45.71,-34.34,0.4,1.14
Deep Discharge Warning,1,42.41,60.34,63.09,45.8,-26.95,11.3,21.82
Consecutive Fast Charging,1,41.44,50.3,53.53,45.52,-48.03,9.03,11.95
OverSpeed,0,25.83,30.86,35.7,67.02,-15.03,50.06,30.93
Harsh Acceleration,0,34.34,42.38,43.1,76.53,-14.84,87.65,37.78
Harsh Acceleration,0,37.27,41.36,51.23,77.35,4.29,93.42,24.37
Harsh Braking,0,28.99,37.98,38.22,75.53,-1.64,86.88,23.57
Harsh Braking,0,28.16,37.54,37.94,77.11,-28.38,84.5,45.28
Low SoC,1,37.0,50.67,65.55,45.35,-45.21,9.18,3.38
Deep Discharge Warning,1,52.62,59.67,86.33,47.45,-53.83,4.74,34.45
Deep Discharge Warning,1,48.16,52.93,71.53,50.52,-48.0,20.47,0.67
Low SoC,1,46.17,56.67,81.97,46.28,-45.79,4.16,18.61
Harsh Acceleration,0,26.41,33.0,41.72,67.24,-14.4,56.06,23.72
Harsh Braking,0,35.02,41.13,53.58,65.04,-11.8,48.54,23.09
Harsh Braking,0,28.85,37.33,42.45,76.86,-11.02,87.09,27.76
Harsh Acceleration,0,35.67,42.34,42.35,69.52,-9.84,59.11,13.11
Harsh Braking,0,30.07,39.63,36.82,66.58,-13.05,56.06,15.43
Harsh Braking,0,22.75,28.93,31.35,73.29,-21.77,72.2,74.25
Low SoC,1,42.38,50.88,70.2,46.49,-24.49,1.98,4.22
Harsh Braking,0,25.57,32.15,41.22,67.93,-22.23,53.02,32.38
Harsh Acceleration,0,26.03,29.79,40.84,74.76,-25.49,83.44,37.73
Deep Discharge Warning,1,37.35,47.86,58.42,46.94,-48.82,2.13,14.73
Low SoC,1,36.74,47.02,64.75,44.8,-18.41,5.5,11.67
Deep Discharge Warning,1,45.53,59.63,63.31,44.55,-36.79,2.09,4.09
Consecutive Fast Charging,1,52.33,59.03,80.43,46.52,-34.25,7.91,10.69
Harsh Acceleration,0,33.17,38.35,43.7,74.46,-17.51,80.62,32.43
Low SoC,1,37.07,45.76,64.07,45.11,-43.15,7.1,27.94
Battery Under Voltage,1,32.26,47.55,48.61,45.35,-73.57,5.0,21.94
Deep Discharge Warning,1,40.08,51.3,61.55,46.87,-26.27,8.62,5.24
Harsh Acceleration,0,24.08,26.39,37.59,66.4,-11.52,53.49,41.26
Harsh Braking,0,35.35,43.08,46.63,65.32,-17.34,43.06,33.93
Low SoC,1,33.98,43.73,58.3,44.27,-55.55,2.3,3.91
Harsh Acceleration,0,36.06,43.0,49.28,67.02,-13.64,56.82,26.82
Low SoC,1,39.7,54.86,67.36,46.74,-50.17,9.85,39.68
Thermal Overheat Surge,1,51.64,60.49,72.97,44.52,-43.44,7.32,10.76
Deep Discharge Warning,1,41.74,54.26,57.2,45.76,-33.51,7.98,12.58
Harsh Acceleration,0,27.84,35.53,38.05,69.07,-11.04,64.96,21.47
OverSpeed,0,29.98,28.37,40.25,64.99,-17.36,46.41,38.29
Harsh Braking,0,32.12,38.8,56.12,73.22,-3.95,75.44,23.97
Harsh Acceleration,0,29.81,31.18,37.86,64.53,-25.68,46.39,21.97
Harsh Acceleration,0,34.26,37.45,46.36,68.04,-9.39,55.43,20.01
Thermal Overheat Surge,1,42.25,55.79,63.0,46.82,-29.68,5.45,14.57
Deep Discharge Warning,1,42.3,58.25,73.84,47.6,-22.91,3.48,17.3
Harsh Braking,0,37.42,43.43,44.91,66.67,1.18,55.24,47.77
Deep Discharge Warning,1,42.46,52.01,56.77,46.85,-5.03,1.66,16.19
Low SoC,1,35.24,52.1,70.7,48.07,-79.28,6.67,9.76
Harsh Acceleration,0,31.22,37.33,47.63,63.97,-13.85,43.44,38.99
Battery Under Voltage,1,26.67,44.45,56.4,46.61,-18.05,9.51,11.14
Harsh Acceleration,0,32.73,35.46,48.9,75.28,-4.27,84.09,29.26
Low SoC,1,46.6,62.65,76.11,51.16,-39.62,26.31,25.67
Low SoC,1,48.21,64.4,65.15,45.51,-41.4,6.29,8.46
Battery Under Voltage,1,41.45,57.18,63.81,46.41,-62.16,3.09,7.58
Harsh Cornering,0,29.09,34.94,37.07,68.78,-33.01,56.05,20.13
Battery Under Voltage,1,53.81,64.94,72.76,47.73,-31.71,9.28,8.72
OverSpeed,0,30.26,34.55,42.8,69.28,-8.39,65.37,32.83
Thermal Overheat Surge,1,47.43,60.11,77.93,44.52,-76.3,3.14,9.57
Harsh Braking,0,30.65,36.34,42.52,70.63,-11.34,70.6,30.6
Deep Discharge Warning,1,37.47,46.53,65.93,45.4,-59.17,2.56,0.43
Harsh Acceleration,0,33.52,39.32,56.25,69.8,-5.71,62.19,54.1
Battery Under Voltage,1,44.14,57.67,81.06,47.84,-45.48,13.41,1.75
Harsh Acceleration,0,31.05,37.48,40.97,77.6,-16.23,90.59,30.0
Harsh Acceleration,0,29.11,37.34,34.94,74.59,-18.4,86.47,32.09
Harsh Cornering,0,34.49,38.45,46.39,73.01,-3.19,78.18,43.88
Low SoC,1,38.98,51.15,54.28,48.95,-62.27,16.47,1.57
Harsh Braking,0,27.26,31.26,42.75,75.26,-31.07,82.26,13.56
Battery Under Voltage,1,31.31,44.17,46.28,46.74,-43.86,8.84,0.82
Harsh Braking,0,27.13,34.18,44.04,73.21,-28.12,78.27,18.54
Low SoC,1,35.6,45.23,44.52,46.84,-48.94,17.46,12.46
Harsh Braking,0,33.65,40.42,42.42,74.82,-12.9,79.23,38.71
Battery Under Voltage,1,52.14,61.87,83.85,45.84,-33.64,0.47,2.41
Thermal Overheat Surge,1,45.5,59.75,64.36,43.94,-58.41,7.53,48.17
Low SoC,1,45.69,51.6,64.01,47.23,-39.47,10.01,5.31
Low SoC,1,57.14,73.62,81.19,47.92,-69.71,14.03,9.34
Harsh Acceleration,0,30.33,36.62,43.86,75.89,-21.11,85.2,21.43
Thermal Overheat Surge,1,53.31,63.48,59.77,47.65,-22.15,2.39,1.16
Low SoC,1,46.81,66.64,70.55,46.1,-57.21,8.51,16.61
Harsh Braking,0,23.93,33.33,22.76,66.79,-3.72,57.06,24.42
Deep Discharge Warning,1,40.91,51.55,72.32,49.62,-58.76,26.33,8.52
Battery Under Voltage,1,41.94,56.93,72.52,47.51,-15.56,11.82,2.81
Harsh Acceleration,0,26.09,30.74,51.28,77.93,-28.13,91.86,28.58
Battery Under Voltage,1,32.5,54.7,46.07,46.99,-44.95,0.71,4.98
Harsh Acceleration,0,36.23,42.72,49.73,69.79,-20.23,61.17,21.94
Harsh Braking,0,25.99,34.35,40.02,75.45,-16.82,82.83,26.05
OverSpeed,0,32.89,37.99,44.72,68.62,-25.2,59.29,30.68
Harsh Acceleration,0,31.28,37.29,31.2,70.92,-27.71,70.38,14.44
Deep Discharge Warning,1,43.55,53.75,66.26,46.08,-27.39,4.4,10.63
Low SoC,1,46.75,61.86,72.88,46.13,-48.44,2.42,25.91
Harsh Cornering,0,19.11,25.97,27.25,65.47,-24.2,44.8,25.85
Battery Under Voltage,1,44.07,56.56,62.72,45.08,-43.28,7.64,30.34
Harsh Acceleration,0,26.54,29.47,33.39,79.24,-8.73,93.16,35.87
Harsh Acceleration,0,21.38,27.74,26.74,71.29,-24.71,72.52,22.3
Harsh Braking,0,30.06,34.11,36.05,66.34,-9.42,52.43,31.27
Low SoC,1,35.71,48.77,54.71,46.01,-25.3,5.15,5.7
Harsh Acceleration,0,22.55,32.69,36.83,70.6,-11.47,66.79,48.28
Harsh Cornering,0,30.48,36.68,46.86,66.71,-1.03,53.62,43.76
Harsh Braking,0,36.97,38.37,48.1,75.94,-16.44,79.05,14.87
Deep Discharge Warning,1,31.86,47.52,67.33,47.67,-50.67,7.85,27.01
Harsh Braking,0,26.09,34.12,29.19,77.08,-15.71,88.06,39.8
Harsh Acceleration,0,33.58,36.77,43.74,75.86,-15.58,85.95,41.25
Harsh Acceleration,0,27.77,32.55,37.7,64.11,-18.41,44.29,62.32
Harsh Acceleration,0,32.78,41.26,38.52,79.1,-8.63,94.2,6.85
Harsh Acceleration,0,26.64,34.48,40.99,72.33,-10.15,75.87,21.5
Harsh Braking,0,27.83,30.9,38.12,73.9,-17.0,82.62,38.81
Thermal Overheat Surge,1,48.87,60.59,70.9,48.06,-34.84,17.4,22.56
Deep Discharge Warning,1,38.25,55.48,57.57,48.7,-64.25,16.72,31.91
Deep Discharge Warning,1,40.05,47.75,58.53,46.18,-33.05,2.7,20.1
Low SoC,1,34.08,50.73,51.21,47.78,-27.86,18.46,7.14
Low SoC,1,48.4,58.44,68.15,43.26,-50.71,2.3,1.12
Battery Under Voltage,1,24.88,43.62,49.81,46.68,-68.21,5.56,22.01
Deep Discharge Warning,1,39.91,45.36,64.19,46.7,-33.16,1.45,1.43
Deep Discharge Warning,1,38.32,42.63,60.83,46.12,-39.61,2.71,20.26
Low SoC,1,52.33,56.2,91.98,47.35,-30.39,4.88,25.15
Harsh Braking,0,35.34,36.7,47.0,75.89,-16.08,82.76,48.35
Consecutive Fast Charging,1,48.29,56.52,81.28,45.63,-56.62,9.02,2.74
Low SoC,1,38.15,48.04,68.63,46.7,-47.05,19.57,3.87
Harsh Braking,0,34.41,39.63,55.06,66.56,-12.18,51.55,22.33
Harsh Cornering,0,31.37,39.31,39.73,65.0,-8.33,45.53,17.61
Low SoC,1,32.68,42.53,45.98,45.45,-35.74,9.45,22.57
Harsh Acceleration,0,27.48,29.61,33.04,71.99,-13.27,66.48,41.03
Harsh Braking,0,26.92,29.23,35.48,65.52,-17.34,52.82,25.08
Harsh Acceleration,0,24.63,30.7,43.34,77.25,-6.21,92.04,40.05
Harsh Acceleration,0,33.74,39.32,51.4,76.82,-18.38,82.07,44.42
Harsh Braking,0,30.82,39.23,51.32,67.67,-12.36,60.18,40.05
Harsh Cornering,0,30.05,36.03,36.49,72.92,-10.74,72.84,9.05
Harsh Acceleration,0,30.25,39.77,50.34,68.85,-11.25,61.5,27.33
Low SoC,1,43.49,53.14,77.46,49.3,-51.82,11.5,14.18
Harsh Cornering,0,37.11,43.31,57.37,63.95,-19.91,42.56,33.1
Harsh Acceleration,0,31.6,37.92,43.76,68.22,-13.1,58.35,38.96
OverSpeed,0,25.77,32.6,36.04,71.12,-11.51,66.34,27.59
Battery Under Voltage,1,32.15,46.34,45.86,45.59,-41.59,5.75,0.7
Low SoC,1,45.28,54.48,64.29,48.91,-74.96,10.16,21.3
Consecutive Fast Charging,1,47.68,66.95,79.19,46.34,-66.74,3.11,0.9
Harsh Acceleration,0,30.79,38.41,44.71,67.62,-4.95,49.66,33.96
Harsh Acceleration,0,24.7,30.97,42.93,67.51,-9.02,60.0,51.42
Low SoC,1,54.28,66.17,86.27,47.81,-46.91,17.88,16.8
Harsh Braking,0,32.3,38.48,45.44,68.57,-20.75,62.14,17.02
Battery Under Voltage,1,43.17,50.8,67.61,45.71,-51.45,3.16,11.99
Harsh Cornering,0,34.28,38.51,41.8,67.2,3.09,60.66,44.04
Harsh Braking,0,32.51,42.48,45.12,70.9,-22.69,64.34,56.79
Low SoC,1,51.53,64.6,83.17,48.64,-43.34,13.84,4.09
Deep Discharge Warning,1,47.5,58.49,84.93,47.0,-25.8,10.71,34.57
Harsh Braking,0,37.35,47.71,56.95,72.16,8.11,76.69,43.3
Battery Under Voltage,1,43.54,54.86,67.61,47.61,-45.26,18.66,0.34
Harsh Acceleration,0,31.59,42.63,43.36,76.21,-4.38,87.5,31.71
Harsh Acceleration,0,31.49,40.35,43.16,68.24,-6.79,56.48,12.6
Harsh Acceleration,0,25.42,35.57,36.41,66.2,-6.6,50.04,45.1
Low SoC,1,35.39,50.06,70.68,46.6,-43.46,14.28,19.82
Low SoC,1,41.87,53.39,62.56,46.49,-33.13,5.59,36.66
Harsh Acceleration,0,34.31,43.68,41.68,70.96,-26.37,67.76,37.66
Low SoC,1,40.0,56.97,62.73,45.18,-16.61,4.45,8.82
OverSpeed,0,28.31,36.91,39.93,64.89,-22.58,41.85,20.6
Thermal Overheat Surge,1,44.56,57.54,80.63,50.26,-32.46,11.89,15.98
Harsh Acceleration,0,33.52,40.05,48.28,81.13,5.65,96.74,42.25
Deep Discharge Warning,1,38.86,53.22,65.94,44.95,-55.75,4.41,9.69
Battery Under Voltage,1,33.29,39.26,54.81,45.17,-50.03,3.13,26.65
Deep Discharge Warning,1,46.45,50.35,68.33,47.89,-39.49,6.48,38.0
Harsh Cornering,0,28.62,29.81,38.7,71.04,-8.19,66.02,21.6
Harsh Cornering,0,27.17,32.98,43.09,71.19,-16.24,71.7,39.71
Harsh Braking,0,28.95,33.76,37.47,63.51,-15.59,43.08,30.13
Harsh Acceleration,0,31.38,36.43,40.67,64.35,-1.85,46.42,47.95
Harsh Acceleration,0,30.93,38.11,42.41,65.83,-18.22,48.4,77.96
Harsh Acceleration,0,22.07,31.96,22.4,74.67,-26.68,79.95,29.06
Deep Discharge Warning,1,43.31,55.93,73.85,44.27,-47.92,1.62,3.53
Low SoC,1,42.19,50.63,60.25,43.32,-38.65,1.07,28.19
Harsh Braking,0,29.36,34.08,36.7,66.62,-3.02,54.56,23.55
Low SoC,1,33.71,48.05,57.36,48.07,-43.12,23.18,15.02
Deep Discharge Warning,1,37.94,53.25,60.83,48.0,-18.45,14.72,2.1
Harsh Acceleration,0,32.37,42.51,44.88,65.01,-23.05,48.85,36.49
Harsh Braking,0,24.59,29.3,40.19,63.99,-18.62,41.17,38.47
Harsh Acceleration,0,25.05,32.14,34.85,71.04,-18.91,67.88,16.65
Low SoC,1,49.93,55.36,65.77,43.84,-62.68,5.5,0.79
Deep Discharge Warning,1,32.65,42.96,53.72,43.38,-43.6,2.39,10.89
Deep Discharge Warning,1,36.2,42.82,61.64,47.53,-46.91,2.39,12.3
Harsh Cornering,0,30.92,37.54,46.54,68.2,-11.89,57.87,36.56
Harsh Acceleration,0,33.64,37.18,53.43,75.74,-24.41,83.81,24.22
OverSpeed,0,28.16,33.87,34.45,75.35,-1.73,86.32,24.33
Low SoC,1,36.63,48.71,67.44,47.7,-71.55,3.77,6.55
Harsh Acceleration,0,24.54,30.84,39.25,63.13,-11.64,42.6,46.45
OverSpeed,0,36.03,42.34,53.61,76.06,-9.97,86.72,18.26
Low SoC,1,39.42,55.87,49.29,45.61,-42.99,12.11,4.49
Harsh Acceleration,0,26.59,35.37,29.86,70.5,-16.45,67.0,7.08
Battery Under Voltage,1,47.8,58.92,68.48,46.34,-42.72,3.01,0.86
Harsh Acceleration,0,27.42,32.6,44.77,72.79,-13.52,72.2,28.87
Harsh Acceleration,0,31.14,34.44,38.66,71.25,-15.71,72.7,43.08
Harsh Acceleration,0,30.01,36.94,43.77,66.62,-12.83,47.51,6.49
Deep Discharge Warning,1,30.38,40.81,63.91,47.47,-42.21,12.12,15.61
Harsh Acceleration,0,30.89,38.87,48.72,66.69,-22.75,52.43,16.32
Battery Under Voltage,1,33.17,47.85,59.87,45.71,-44.43,0.61,1.79
Harsh Acceleration,0,35.5,42.87,45.06,79.33,-10.41,97.4,31.53
Harsh Acceleration,0,23.68,26.19,40.45,68.02,-0.89,55.79,18.63
Deep Discharge Warning,1,45.73,55.77,62.14,47.95,-39.64,10.12,4.67
Harsh Braking,0,29.29,35.75,39.95,68.62,-23.04,55.99,38.54
Harsh Cornering,0,27.63,30.37,43.39,68.73,-24.69,61.31,39.01
Low SoC,1,31.55,49.05,40.34,48.94,-53.18,5.65,20.53
Consecutive Fast Charging,1,50.45,65.83,75.03,48.14,-49.61,14.76,0.51
Deep Discharge Warning,1,36.61,43.68,72.01,49.39,-28.92,20.03,51.25
Battery Under Voltage,1,39.18,46.63,64.37,44.78,-24.74,4.48,29.72
Battery Under Voltage,1,53.35,64.86,80.11,48.42,-41.21,19.13,33.39
Harsh Braking,0,30.84,36.88,42.39,72.79,-23.28,76.25,56.43
Consecutive Fast Charging,1,39.54,49.78,64.14,46.19,-50.46,7.0,47.97
Harsh Acceleration,0,35.71,45.8,45.43,78.48,-2.29,94.26,30.56
Deep Discharge Warning,1,42.66,56.26,60.41,47.4,-61.06,5.05,5.33
Deep Discharge Warning,1,43.51,60.4,56.32,46.98,-51.56,5.69,26.96
OverSpeed,0,33.35,43.78,44.26,69.45,-19.07,61.22,30.68
OverSpeed,0,21.47,29.57,32.25,74.58,-26.96,83.59,48.89
Harsh Cornering,0,28.95,36.38,49.41,73.32,-8.03,72.27,25.7
Harsh Braking,0,27.66,38.32,44.13,71.27,-13.9,74.95,25.5
Deep Discharge Warning,1,43.1,54.13,60.15,45.34,-49.31,5.58,5.96
Harsh Braking,0,28.88,32.89,47.48,70.0,-7.08,70.12,27.88
Deep Discharge Warning,1,49.17,69.79,65.41,46.99,-24.87,8.72,22.1
OverSpeed,0,32.06,37.61,51.51,61.81,-15.25,40.47,26.82
Low SoC,1,42.57,61.36,55.22,46.4,-39.68,3.7,0.29
Low SoC,1,45.26,59.01,81.39,48.71,-23.02,8.67,5.24
Harsh Acceleration,0,28.26,31.65,46.05,75.94,-18.61,83.24,21.29
Harsh Braking,0,35.68,40.65,49.06,74.69,0.32,85.11,38.5
Harsh Braking,0,30.08,30.86,41.25,72.2,-15.71,70.4,22.52
Harsh Acceleration,0,26.3,30.69,35.47,66.9,-26.74,54.03,29.41
Harsh Braking,0,19.39,25.48,38.16,64.68,-13.13,45.2,35.55
Harsh Acceleration,0,29.85,35.1,34.08,72.81,-25.13,73.05,39.62
Harsh Braking,0,32.8,42.37,44.41,72.54,-5.34,74.99,39.98
Harsh Braking,0,25.77,34.95,33.1,67.09,-13.36,51.26,26.72
Harsh Braking,0,35.95,43.75,44.78,75.51,-36.44,87.59,16.36
OverSpeed,0,20.1,25.38,29.55,69.68,-10.9,65.21,49.57
Harsh Braking,0,28.31,33.81,47.59,69.83,-26.24,64.16,43.72
Low SoC,1,37.61,48.43,55.43,49.72,-66.57,15.49,18.04
Low SoC,1,46.44,52.86,68.84,46.21,-27.7,7.19,37.43
OverSpeed,0,35.03,45.77,50.31,79.72,-7.79,94.72,38.96
Harsh Acceleration,0,21.54,25.9,27.19,70.92,-5.07,67.76,44.92
Low SoC,1,42.91,57.19,64.56,48.03,-41.74,8.83,4.57
Deep Discharge Warning,1,43.55,59.3,70.31,47.5,-53.83,6.38,25.69
Harsh Braking,0,31.86,36.15,45.7,80.14,-7.56,95.69,35.59
Low SoC,1,40.27,50.39,74.6,47.81,-59.07,6.62,38.3
Consecutive Fast Charging,1,41.56,56.56,61.54,47.3,-51.68,12.22,19.26
Consecutive Fast Charging,1,50.47,60.56,80.98,45.9,-60.63,5.75,6.61
Harsh Acceleration,0,30.79,36.68,38.02,70.68,-5.0,65.75,46.44
Harsh Cornering,0,29.46,34.35,44.25,72.47,-40.19,71.15,31.67
Harsh Cornering,0,36.36,46.84,59.15,71.38,-15.16,70.15,50.19
Low SoC,1,40.71,55.31,87.05,44.86,-16.0,7.11,3.87
Consecutive Fast Charging,1,35.58,47.23,67.98,46.39,-46.57,4.85,30.67
Harsh Acceleration,0,28.93,35.95,40.4,68.81,-10.5,59.14,39.43
Low SoC,1,36.18,43.75,72.54,48.85,-30.3,7.13,3.95
Battery Under Voltage,1,39.03,52.2,76.56,45.99,-52.94,5.32,31.33
Thermal Overheat Surge,1,31.74,43.19,49.39,47.32,-27.97,11.32,69.0
Harsh Braking,0,36.64,40.5,60.08,69.42,-12.63,58.19,8.42
Harsh Braking,0,34.12,42.1,50.08,71.14,-17.79,67.09,14.78
Thermal Overheat Surge,1,41.32,51.62,66.16,46.78,-21.81,7.96,10.0
OverSpeed,0,26.62,29.81,34.24,67.74,-5.81,57.91,25.73
Harsh Acceleration,0,28.14,36.36,37.61,76.87,-8.98,87.58,28.25
Low SoC,1,37.02,43.25,63.75,46.88,-61.59,4.85,4.79
Harsh Acceleration,0,36.25,37.48,43.29,68.85,-25.58,64.06,50.7
Low SoC,1,38.43,49.23,78.99,44.3,-54.17,2.04,3.38
Harsh Acceleration,0,31.25,37.08,49.47,72.27,-17.83,72.06,39.74
Deep Discharge Warning,1,29.69,45.31,52.89,46.36,-56.12,0.87,10.28
Harsh Acceleration,0,28.06,28.44,38.43,73.7,-28.76,79.27,36.17
Harsh Braking,0,25.28,32.87,30.45,68.35,-16.07,56.54,40.32
Harsh Braking,0,30.3,37.91,48.14,75.1,-11.02,85.01,45.51
Harsh Acceleration,0,25.56,32.36,42.86,75.73,-11.5,83.63,26.49
Harsh Braking,0,25.06,24.98,40.42,76.15,-2.44,85.57,15.82
OverSpeed,0,33.83,37.6,48.18,77.03,-10.25,89.57,23.06
Harsh Acceleration,0,30.41,36.42,36.3,76.48,-23.34,83.45,14.8
Harsh Braking,0,29.75,33.19,39.96,74.97,-24.66,80.44,32.92
Low SoC,1,55.83,69.92,73.37,47.66,-24.22,3.39,6.66
Deep Discharge Warning,1,44.97,54.28,52.97,48.64,-53.32,14.13,34.78
Harsh Braking,0,28.62,37.44,35.21,69.72,-15.42,58.88,37.07
Low SoC,1,51.15,61.57,74.8,46.89,-64.48,11.02,30.0
Harsh Acceleration,0,32.91,40.96,48.79,70.46,-15.38,63.83,34.25
Low SoC,1,34.61,40.62,58.09,45.87,-28.51,6.4,2.37
Harsh Braking,0,29.77,36.33,34.12,63.3,-40.08,42.23,29.89
Low SoC,1,50.8,55.89,74.99,46.03,-16.59,5.29,63.71
Harsh Acceleration,0,33.2,38.12,43.25,76.27,-15.41,85.02,29.81
Harsh Cornering,0,22.06,33.4,23.61,78.02,-3.24,97.43,33.99
OverSpeed,0,25.14,29.67,34.26,63.55,-24.6,41.67,40.5
Harsh Acceleration,0,31.05,34.15,37.44,78.34,-25.99,92.78,14.51
Harsh Braking,0,29.7,38.08,47.53,67.95,-14.97,55.88,12.06
Harsh Braking,0,36.67,40.0,41.34,71.33,-11.19,66.98,22.53
Consecutive Fast Charging,1,57.23,73.2,85.55,46.77,-58.17,2.68,8.97
Thermal Overheat Surge,1,37.29,51.52,68.81,45.6,-16.44,4.54,0.17
OverSpeed,0,26.8,32.86,37.62,66.97,-5.54,58.66,0.06
Consecutive Fast Charging,1,42.74,57.07,66.47,46.27,-50.08,11.28,33.59
Harsh Cornering,0,41.27,45.69,66.52,63.25,-31.95,44.15,21.42
Deep Discharge Warning,1,57.87,71.09,82.46,46.71,-26.25,10.61,12.34
Battery Under Voltage,1,31.49,46.71,51.69,45.33,-66.63,8.66,3.16
Low SoC,1,47.47,53.33,77.83,48.63,-60.58,12.46,23.06
Harsh Braking,0,34.13,39.46,49.15,72.53,-1.53,70.2,25.29
Harsh Braking,0,24.1,25.32,35.55,73.96,-6.08,74.23,24.45
Low SoC,1,38.61,52.05,58.38,44.26,-35.0,5.37,22.0
Harsh Cornering,0,20.79,27.31,34.24,77.44,0.61,90.59,31.1
Harsh Braking,0,27.24,33.17,45.92,71.57,-8.61,70.32,10.81
Harsh Acceleration,0,26.13,31.07,38.08,78.34,-16.39,86.85,40.72
Harsh Braking,0,27.01,36.02,37.87,68.3,-8.86,58.96,27.95
Battery Under Voltage,1,46.8,56.67,75.13,47.4,-42.66,2.41,11.99
Harsh Acceleration,0,26.15,31.22,41.67,76.44,-3.19,87.92,25.74
Harsh Braking,0,27.68,30.6,40.97,66.88,-18.51,53.6,22.06
Harsh Braking,0,28.71,30.16,44.25,81.84,-19.03,97.51,14.06
Harsh Acceleration,0,26.59,30.62,34.14,76.41,-15.31,87.97,21.25
Harsh Acceleration,0,35.48,38.59,53.46,66.03,-0.77,54.72,47.55
Harsh Cornering,0,32.9,37.11,42.17,69.97,-13.51,66.85,47.4
Low SoC,1,43.31,56.98,48.11,48.96,-27.07,16.61,4.26
